season,seed,team_name
2026,W01,Duke
2026,W02,Michigan
2026,W03,Arizona
2026,W04,Miami (OH)
2026,W05,Gonzaga
2026,W06,Saint Louis
2026,W07,UConn
2026,W08,High Point
2026,W09,Saint Mary's (CA)
2026,W10,Iowa St.
2026,W11,Virginia
2026,W12,Nebraska
2026,W13,Houston
2026,W14,Florida
2026,W15,Utah St.
2026,W16a,Michigan St.
2026,W16b,Akron
2026,X01,Belmont
2026,X02,Illinois
2026,X03,Purdue
2026,X04,McNeese
2026,X05,UNCW
2026,X06,SFA
2026,X07,Yale
2026,X08,St. John's (NY)
2026,X09,North Carolina
2026,X10,Tulsa
2026,X11,Vanderbilt
2026,X12,Texas Tech
2026,X13,Liberty
2026,X14,Miami (FL)
2026,X15,Santa Clara
2026,X16a,Alabama
2026,X16b,Utah Valley
2026,Y01,VCU
2026,Y02,Arkansas
2026,Y03,New Mexico
2026,Y04,Kansas
2026,Y05,Navy
2026,Y06,Louisville
2026,Y07,South Fla.
2026,Y08,North Dakota St.
2026,Y09,Villanova
2026,Y10,BYU
2026,Y11a,St. Thomas (MN)
2026,Y11b,Tennessee
2026,Y12,Hawaii
2026,Y13,Georgia
2026,Y14,Clemson
2026,Y15,George Mason
2026,Y16,Sam Houston
2026,Z01,Iowa
2026,Z02,San Diego St.
2026,Z03,UCF
2026,Z04,Kentucky
2026,Z05,NC State
2026,Z06,Wisconsin
2026,Z07,Kent St.
2026,Z08,Winthrop
2026,Z09,Austin Peay
2026,Z10,SMU
2026,Z11a,UC Irvine
2026,Z11b,Dayton
2026,Z12,Missouri
2026,Z13,ETSU
2026,Z14,Texas A&M
2026,Z15,California
2026,Z16,Hofstra
