opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Howard Payne,11/07/2018,81,34,Home,,,1097,2741,2019,26172
Our Lady of the Lake,11/09/2018,113,83,Home,,,1003,,2019,26172
UTRGV,11/12/2018,69,76,Home,,,1160,536,2019,26172
UT Arlington,11/16/2018,73,67,Away,,,1569,702,2019,26172
UC Davis,11/17/2018,54,57,Neutral,"Arlington, TX",1 OT,150,108,2019,26172
St. Mary's (TX),11/21/2018,61,58,Home,,,817,1346,2019,26172
UTRGV,11/26/2018,59,68,Away,,,695,536,2019,26172
Tennessee,12/02/2018,51,79,Away,,,14730,694,2019,26172
Texas St.,12/05/2018,55,61,Home,,,1225,670,2019,26172
Huston-Tillotson,12/18/2018,81,63,Home,,,1191,,2019,26172
UTSA,12/20/2018,50,64,Home,,,1004,706,2019,26172
Louisiana Tech,12/22/2018,68,73,Away,,,1307,366,2019,26172
Oklahoma St.,12/29/2018,59,69,Away,,,6745,521,2019,26172
Central Ark.,01/02/2019,87,75,Home,,,936,1004,2019,26172
Lamar University,01/05/2019,55,61,Away,,,0,346,2019,26172
Northwestern St.,01/09/2019,62,61,Away,,,1214,508,2019,26172
Sam Houston St.,01/16/2019,50,72,Away,,,855,624,2019,26172
New Orleans,01/19/2019,76,61,Home,,,1215,474,2019,26172
Nicholls St.,01/23/2019,75,73,Home,,,975,483,2019,26172
Abilene Christian,01/30/2019,71,78,Away,,,1301,2,2019,26172
Houston Baptist,02/02/2019,72,73,Away,,,1000,287,2019,26172
Southeastern La.,02/06/2019,58,64,Home,,,1400,655,2019,26172
Incarnate Word,02/09/2019,70,61,Home,,,2318,2743,2019,26172
Sam Houston St.,02/13/2019,69,70,Home,,,1118,624,2019,26172
New Orleans,02/16/2019,58,68,Away,,,793,474,2019,26172
SFA,02/20/2019,65,55,Away,,,2612,676,2019,26172
Lamar University,02/23/2019,58,63,Home,,,1250,346,2019,26172
Abilene Christian,02/27/2019,64,73,Home,,,1191,2,2019,26172
Incarnate Word,03/02/2019,74,72,Away,,1 OT,860,2743,2019,26172
McNeese,03/06/2019,59,50,Away,,,2426,402,2019,26172
