player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Benjamin, York",So.,2017-18,F,80,15,11,25,0.440,0,1,0.000,15,17,0.882,37,2.467,5,0.333,2,0.133,5,0.333,37,2.467,31,0,0,1844802,2018,26172
"Bloom, David",Sr.,2017-18,G,76,20,2,14,0.143,1,8,0.125,12,15,0.800,11,0.550,11,0.550,2,0.100,2,0.100,17,0.850,7,0,0,1620842,2018,26172
"Bradley, Jamell",So.,2017-18,G,79,14,3,10,0.300,1,3,0.333,4,5,0.800,10,0.714,1,0.071,0,0.000,1,0.071,11,0.786,2,0,0,1844801,2018,26172
"Brown, Kyle",So.,2017-18,G,70,22,8,21,0.381,2,2,1.000,7,14,0.500,11,0.500,17,0.773,0,0.000,13,0.591,25,1.136,16,0,0,1737700,2018,26172
"Francois, Perry",So.,2017-18,F,80,29,35,71,0.493,0,0,0.000,10,18,0.556,78,2.690,14,0.483,17,0.586,2,0.069,80,2.759,32,0,0,1844798,2018,26172
"Gray, Tre",Fr.,2017-18,G,74,24,39,88,0.443,19,50,0.380,27,38,0.711,12,0.500,9,0.375,0,0.000,9,0.375,124,5.167,20,0,0,1960822,2018,26172
"Hale, Colin",So.,2017-18,G,73,29,34,88,0.386,9,37,0.243,2,6,0.333,48,1.655,27,0.931,1,0.034,15,0.517,79,2.724,35,0,0,1844800,2018,26172
"Kilgore, Joseph",Sr.,2017-18,G,77,29,183,451,0.406,37,108,0.343,137,173,0.792,163,5.621,96,3.310,18,0.621,52,1.793,540,18.621,86,4,1,1620844,2018,26172
"Rhea, Sean",Fr.,2017-18,F,80,27,94,188,0.500,3,8,0.375,64,112,0.571,150,5.556,14,0.519,22,0.815,21,0.778,255,9.444,59,1,0,1960826,2018,26172
"Rhea, Deion",Fr.,2017-18,F,79,11,23,55,0.418,7,22,0.318,14,19,0.737,31,2.818,4,0.364,8,0.727,4,0.364,67,6.091,17,0,0,1960825,2018,26172
"Schmidt, Elijah",So.,2017-18,F,80,29,57,113,0.504,2,13,0.154,31,52,0.596,158,5.448,23,0.793,8,0.276,18,0.621,147,5.069,32,1,0,1844799,2018,26172
"Smith, Myles",Fr.,2017-18,G,72,26,67,149,0.450,20,56,0.357,49,61,0.803,67,2.577,50,1.923,1,0.038,19,0.731,203,7.808,52,0,0,1960804,2018,26172
"Smith, Peyton",Fr.,2017-18,G,72,9,1,6,0.167,0,4,0.000,3,4,0.750,5,0.556,2,0.222,0,0.000,2,0.222,5,0.556,2,0,0,1960821,2018,26172
