opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
New Orleans,03/09/2026,74,61,Neutral,"Lake Charles, LA",,0,474.0,2026,26172
Alcorn,03/09/2026,65,77,Neutral,"College Park, GA",,745,17.0,2026,7
Alabama St.,03/09/2026,77,65,Neutral,"College Park, GA",,745,7.0,2026,17
Monmouth,03/09/2026,64,74,Neutral,"Washington, DC",,1567,439.0,2026,115
Robert Morris,03/09/2026,70,64,Neutral,"Indianapolis, IN",,0,579.0,2026,184
Weber St.,03/09/2026,84,79,Neutral,"Boise, ID",,0,758.0,2026,207
Furman,03/09/2026,61,76,Neutral,"Asheville, NC",,6111,244.0,2026,198
ETSU,03/09/2026,76,61,Neutral,"Asheville, NC",,6111,198.0,2026,244
Troy,03/09/2026,61,77,Neutral,"Pensacola, FL",,2555,716.0,2026,253
Oregon St.,03/09/2026,65,56,Neutral,"Las Vegas, NV",,6087,528.0,2026,260
Mississippi Val.,03/09/2026,77,52,Neutral,"College Park, GA",,807,432.0,2026,261
Towson,03/09/2026,68,65,Neutral,"Washington, DC",1 OT,1582,711.0,2026,283
Grambling,03/09/2026,52,77,Neutral,"College Park, GA",,807,261.0,2026,432
Campbell,03/09/2026,74,64,Neutral,"Washington, DC",,1567,115.0,2026,439
Northern Colo.,03/09/2026,95,89,Neutral,"Boise, ID",,0,502.0,2026,441
A&M-Corpus Christi,03/09/2026,61,74,Neutral,"Lake Charles, LA",,0,26172.0,2026,474
UTRGV,03/09/2026,68,86,Neutral,"Lake Charles, LA",,0,536.0,2026,483
Montana,03/09/2026,89,95,Neutral,"Boise, ID",,0,441.0,2026,502
Wright St.,03/09/2026,90,103,Neutral,"Indianapolis, IN",,0,810.0,2026,505
Gonzaga,03/09/2026,56,65,Neutral,"Las Vegas, NV",,6087,260.0,2026,528
Detroit Mercy,03/09/2026,64,70,Neutral,"Indianapolis, IN",,0,184.0,2026,579
Santa Clara,03/09/2026,71,76,Neutral,"Las Vegas, NV",,6343,631.0,2026,610
Saint Mary's (CA),03/09/2026,76,71,Neutral,"Las Vegas, NV",,6343,610.0,2026,631
Hofstra,03/09/2026,65,68,Neutral,"Washington, DC",1 OT,1582,283.0,2026,711
Ga. Southern,03/09/2026,77,61,Neutral,"Pensacola, FL",,2555,253.0,2026,716
Nicholls,03/09/2026,86,68,Neutral,"Lake Charles, LA",,0,483.0,2026,536
Eastern Wash.,03/09/2026,79,84,Neutral,"Boise, ID",,0,207.0,2026,758
Northern Ky.,03/09/2026,103,90,Neutral,"Indianapolis, IN",,0,505.0,2026,810
