round,team_a,team_b,seed_a,seed_b,score_pred_a,score_pred_b,win_prob_a,win_prob_b,pick,favorite,underdog,upset_prob,underdog_win_prob,pick_rule
7,LIU Brooklyn,Radford,20,16,72.147,65.652,0.468,0.532,Radford,Radford,LIU Brooklyn,0.4482,0.468,win_prob
6,Villanova,Radford,1,16,77.949,59.305,0.9443,0.0557,Villanova,Villanova,Radford,0.0473,0.0557,win_prob
6,Virginia Tech,Alabama,8,9,72.132,70.752,0.5492,0.4508,Virginia Tech,Virginia Tech,Alabama,0.4327,0.4508,win_prob
5,Villanova,Virginia Tech,1,8,77.431,68.746,0.7895,0.2105,Villanova,Villanova,Virginia Tech,0.1845,0.2105,win_prob
6,Wichita St.,Marshall,4,13,85.696,70.331,0.8729,0.1271,Wichita St.,Wichita St.,Marshall,0.1034,0.1271,win_prob
6,West Virginia,Murray St.,5,12,81.689,69.8,0.8164,0.1836,West Virginia,West Virginia,Murray St.,0.1562,0.1836,win_prob
5,Wichita St.,West Virginia,4,5,74.225,70.895,0.5754,0.4246,Wichita St.,Wichita St.,West Virginia,0.3829,0.4246,win_prob
4,Villanova,Wichita St.,1,4,68.538,72.731,0.5335,0.4665,Villanova,Villanova,Wichita St.,0.4128,0.4665,win_prob
6,Purdue,Cal St. Fullerton,2,15,78.066,67.266,0.8965,0.1035,Purdue,Purdue,Cal St. Fullerton,0.1014,0.1035,win_prob
6,Arkansas,Butler,7,10,73.402,75.081,0.567,0.433,Arkansas,Arkansas,Butler,0.4204,0.433,win_prob
5,Purdue,Arkansas,2,7,77.957,71.683,0.7207,0.2793,Purdue,Purdue,Arkansas,0.2498,0.2793,win_prob
6,Texas Tech,SFA,3,14,72.027,66.524,0.8359,0.1641,Texas Tech,Texas Tech,SFA,0.1729,0.1641,win_prob
7,St. Bonaventure,UCLA,11,11,73.319,83.15,0.3686,0.6314,UCLA,UCLA,St. Bonaventure,0.3057,0.3686,win_prob
6,Florida,UCLA,6,11,75.337,78.778,0.6017,0.3983,Florida,Florida,UCLA,0.3824,0.3983,win_prob
5,Texas Tech,Florida,3,6,68.408,73.406,0.5227,0.4773,Texas Tech,Texas Tech,Florida,0.4224,0.4773,win_prob
4,Purdue,Texas Tech,2,3,74.58,68.408,0.6129,0.3871,Purdue,Purdue,Texas Tech,0.3252,0.3871,win_prob
3,Villanova,Purdue,1,2,72.184,70.627,0.5511,0.4489,Villanova,Villanova,Purdue,0.408,0.4489,win_prob
6,Kansas,Penn,1,16,77.115,68.206,0.9087,0.0913,Kansas,Kansas,Penn,0.0976,0.0913,win_prob
6,Seton Hall,NC State,8,9,77.091,72.816,0.5881,0.4119,Seton Hall,Seton Hall,NC State,0.377,0.4119,win_prob
5,Kansas,Seton Hall,1,8,77.638,70.911,0.7712,0.2288,Kansas,Kansas,Seton Hall,0.2092,0.2288,win_prob
6,Auburn,Col. of Charleston,4,13,71.987,74.505,0.7207,0.2793,Auburn,Auburn,Col. of Charleston,0.2921,0.2793,win_prob
6,Clemson,New Mexico St.,5,12,69.404,75.968,0.6182,0.3818,Clemson,Clemson,New Mexico St.,0.3513,0.3818,win_prob
5,Auburn,Clemson,4,5,75.386,77.222,0.5052,0.4948,Auburn,Auburn,Clemson,0.4559,0.4948,win_prob
4,Kansas,Auburn,1,4,82.575,74.183,0.695,0.305,Kansas,Kansas,Auburn,0.2494,0.305,win_prob
6,Duke,Iona,2,15,79.343,73.481,0.8687,0.1313,Duke,Duke,Iona,0.1434,0.1313,win_prob
6,Rhode Island,Oklahoma,7,10,75.314,66.854,0.6953,0.3047,Rhode Island,Rhode Island,Oklahoma,0.2633,0.3047,win_prob
5,Duke,Rhode Island,2,7,72.947,70.569,0.6758,0.3242,Duke,Duke,Rhode Island,0.3126,0.3242,win_prob
6,Michigan St.,Bucknell,3,14,68.111,73.05,0.742,0.258,Michigan St.,Michigan St.,Bucknell,0.2625,0.258,win_prob
7,Arizona St.,Syracuse,11,11,72.801,80.225,0.3997,0.6003,Syracuse,Syracuse,Arizona St.,0.348,0.3997,win_prob
6,TCU,Syracuse,6,11,71.346,73.271,0.6215,0.3785,TCU,TCU,Syracuse,0.3757,0.3785,win_prob
5,Michigan St.,TCU,3,6,70.581,70.764,0.5878,0.4122,Michigan St.,Michigan St.,TCU,0.4006,0.4122,win_prob
4,Duke,Michigan St.,2,3,75.742,68.822,0.6226,0.3774,Duke,Duke,Michigan St.,0.3122,0.3774,win_prob
3,Kansas,Duke,1,2,75.738,76.067,0.5254,0.4746,Kansas,Kansas,Duke,0.4399,0.4746,win_prob
2,Villanova,Kansas,1,1,75.236,71.508,0.5509,0.4491,Villanova,Kansas,Villanova,0.4771,0.5509,win_prob
6,Virginia,UMBC,1,16,73.025,66.974,0.8949,0.1051,Virginia,Virginia,UMBC,0.1196,0.1051,win_prob
6,Creighton,Kansas St.,8,9,75.366,71.07,0.5884,0.4116,Creighton,Creighton,Kansas St.,0.3766,0.4116,win_prob
5,Virginia,Creighton,1,8,69.133,68.36,0.7087,0.2913,Virginia,Virginia,Creighton,0.2986,0.2913,win_prob
6,Arizona,Buffalo,4,13,76.18,69.789,0.8078,0.1922,Arizona,Arizona,Buffalo,0.191,0.1922,win_prob
6,Kentucky,Davidson,5,12,80.9,69.733,0.8104,0.1896,Kentucky,Kentucky,Davidson,0.164,0.1896,win_prob
5,Arizona,Kentucky,4,5,72.521,76.042,0.4821,0.5179,Kentucky,Arizona,Kentucky,0.4638,0.5179,win_prob
